Project Name,Project Link,Parent Category,Category Name,Location,Currency,Goal Amount,Pledged Amount,Percent Funded,Duration,Days Left,Description Length,Risk Desc Count,Is Project We Love,Image Count,Video Count
Dead Cells: The Rogue-Lite Board Game,https://www.kickstarter.com/projects/scorpionmasque/dead-cells-the-rogue-lite-board-game?ref=discovery,Games,Tabletop Games,"Montreal, Canada",CAD,50000.0,1023775.98,2047,16,4,135,0,True,5,1
Frankly Delicious - Mini Chocolate Bars,https://www.kickstarter.com/projects/frankly-delicious/frankly-delicious-mini-chocolate-bars?ref=discovery,Food,Small Batch,"Leeds, UK",GBP,2500.0,4470.0,178,30,6,93,0,True,3,0
Raising Robots,https://www.kickstarter.com/projects/nauvoogames/raising-robots?ref=discovery,Games,Tabletop Games,"Madison, WI",USD,20000.0,171533.0,857,23,4,103,0,True,5,1
THE STAR - Angelspit's new 12 track album.,https://www.kickstarter.com/projects/angelspit/the-star-angelspits-new-12-track-album?ref=discovery,Music,Electronic Music,"Los Angeles, CA",USD,3000.0,4077.0,135,40,35,59,0,True,19,1
Help Orange & Blossom Patisserie Build Their Brick & Mortar,https://www.kickstarter.com/projects/orangeandblossom/help-orange-and-blossom-patisserie-build-their-brick-and-mortar?ref=discovery,Food,Vegan,"Portland, OR",USD,40000.0,12347.0,30,30,25,93,0,True,3,0
Korean Folktales: Four Feminist Retellings,https://www.kickstarter.com/projects/alphasisters/korean-folktales-four-feminist-retellings?ref=discovery,Publishing,Translations,"North Atlanta, GA",USD,3000.0,6938.0,231,21,5,96,0,True,10,0
Black Dragon Crown | Artbook by Ruan Jia,https://www.kickstarter.com/projects/spiridon/blackdragoncrown?ref=discovery,Publishing,Art Books,"Strasbourg, France",EUR,30000.0,50067.0,166,30,23,135,0,True,7,0
DreamForge Magazine Year 5,https://www.kickstarter.com/projects/scotnoel/dreamforge-magazine-year-5?ref=discovery,Publishing,Periodicals,"Pittsburgh, PA",USD,5800.0,3395.0,58,29,24,80,0,True,16,1
DREO ChefMaker Combi Fryer,https://www.kickstarter.com/projects/dreo/dreo-chefmaker-combi-fryer?ref=discovery,Technology,Hardware,"Clifton, NJ",USD,10000.0,1152005.0,11520,50,44,134,0,True,13,1
The Jerry Goldsmith Companion - Celebrating a Musical Legend,https://www.kickstarter.com/projects/nightgalleryart/the-jerry-goldsmith-companion?ref=discovery,Publishing,Nonfiction,"Sierra Madre, CA",USD,19000.0,105905.0,557,31,18,132,0,True,13,1
Brigidy Bram: A Feature Documentary Film,https://www.kickstarter.com/projects/lauragamse/brigidy-bram-a-feature-documentary-film?ref=discovery,Film & Video,Documentary,"Nassau, Bahamas",USD,25000.0,12614.0,50,40,29,47,0,True,11,1
GoChess: The Most Powerful Chess Board Ever Invented,https://www.kickstarter.com/projects/1928372437/gochess-ai-robotic-smart-chess-board-with-coaching-lights?ref=discovery,Design,Product Design,"Tel Aviv, Israel",USD,20000.0,933386.0,4666,56,45,110,0,True,11,1
Campster 2 the portable chair for everyone everywhere,https://www.kickstarter.com/projects/rest/sitpack-campster-2?ref=discovery,Design,Product Design,"Copenhagen, Denmark",USD,20000.0,1360342.0,6801,60,14,124,0,True,9,1
Phantomarine: Volume One,https://www.kickstarter.com/projects/phantomarine/phantomarine-volume-one?ref=discovery,Comics,Webcomics,"Vancouver, Canada",CAD,7000.0,19839.29,283,30,23,67,0,True,12,0
Harp Fantasy 3 – Harp Twins Album!,https://www.kickstarter.com/projects/harptwins/harp-fantasy-3-harp-twins-album?ref=discovery,Music,World Music,"Geneva, IL",USD,6000.0,44511.0,741,28,6,131,0,True,3,1
Anwar,https://www.kickstarter.com/projects/anwarfilm/anwar?ref=discovery,Film & Video,Shorts,"San Francisco, CA",USD,15000.0,23271.0,155,28,42,87,0,True,3,1
Kifani Press Book Store and No Basis Co,https://www.kickstarter.com/projects/kifaniandnobasis/kifani-press-book-store-and-no-basis-co?ref=discovery,Publishing,Children's Books,"Memphis, TN",USD,30000.0,20757.0,69,43,69,130,0,True,11,1
Bird Buddy: The Summer of Birds,https://www.kickstarter.com/projects/mybirdbuddy/bird-buddy-the-summer-of-birds?ref=discovery,Technology,Gadgets,"Kalamazoo, MI",USD,100000.0,2668796.6,2668,30,17,134,0,True,8,1
Aeon Trespass: Odyssey Second Printing Plus All-New Content,https://www.kickstarter.com/projects/kingdomsforlorn/aeon-trespass-odyssey-second-printing?ref=discovery,Games,Tabletop Games,"Gdansk, Poland",EUR,50000.0,2424026.0,4848,22,9,129,0,True,12,1
Wishland: Dreams from America,https://www.kickstarter.com/projects/lostgamesent/wishland-dreams-from-america?ref=discovery,Games,Tabletop Games,"Jerez, Spain",EUR,15000.0,71145.0,474,31,4,112,0,True,6,1
Monster Hunter World Iceborne: The Board Game,https://www.kickstarter.com/projects/steamforged/monster-hunter-world-iceborne-board-game?ref=discovery,Games,Tabletop Games,"Manchester, UK",GBP,150000.0,1367080.0,911,14,3,111,0,True,5,1
BLACK BOX CHRONICLES: A new sci-fi graphic novel anthology,https://www.kickstarter.com/projects/neurobellum/black-box-chronicles-a-new-sci-fi-graphic-novel-anthology?ref=discovery,Comics,Graphic Novels,"Chicago, IL",USD,7500.0,83681.0,1115,17,5,127,0,True,12,1
The Alleyway Oracles,https://www.kickstarter.com/projects/publishinggoblin/the-alleyway-oracles?ref=discovery,Design,Graphic Design,"Denver, CO",USD,85000.0,480824.0,565,30,18,129,0,True,10,0
THIRSTY,https://www.kickstarter.com/projects/thirsty4life/thirsty-0?ref=discovery,Film & Video,Narrative Film,"Berkeley, CA",USD,40000.0,7395.0,18,30,24,91,0,True,24,1
